2019-08-02 16:12:58,26.0,26.0
2019-08-02 16:14:04,26.0,26.0
2019-08-02 16:15:09,26.0,26.0
2019-08-02 16:16:15,26.0,26.0
2019-08-02 16:17:20,26.0,26.0
2019-08-02 16:18:26,26.0,26.0
2019-08-02 16:19:32,26.0,26.0
2019-08-02 16:20:37,26.0,26.0
2019-08-02 16:21:43,26.0,26.0
2019-08-02 16:22:48,26.0,26.0
2019-08-02 16:23:54,26.0,26.0
2019-08-02 16:24:59,26.0,26.0
2019-08-02 16:26:05,26.0,26.0
2019-08-02 16:27:10,26.0,26.0
2019-08-02 16:28:16,26.0,26.0
2019-08-02 16:29:21,26.0,26.0
2019-08-02 16:30:27,26.0,26.0
2019-08-02 16:31:32,26.0,26.0
2019-08-02 16:32:38,26.0,26.0
2019-08-02 16:33:43,26.0,26.0
2019-08-02 16:34:49,26.0,26.0
